Work ID,URL,Title,Authors,Fandoms,Language,Warnings,Ratings,Categories,Characters,Relationships,Tags,Words,Date Published,Date Updated,Chapters,Comments,Kudos,Bookmarks,Hits,Collections,Completion Status
50614528,https://archiveofourown.org/works/50614528,Lessons in Chastity,ConfusedCyndaquil,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Underage,Explicit,M/M,Shěn Yuán | Shěn Qīngqiū;Luò Bīnghé,Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū,Dubious Consent;Extremely Dubious Consent;Chastity Device;Prostate Massage;Drabble,100,2023.10.06,06 Oct 2023,1/1,0,13,1,353,1,Complete
50632039,https://archiveofourown.org/works/50632039,To be made by gold,Likewisesilvertongue,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,General Audiences,Gen,Original Yuè Qīngyuán;Shěn Jiǔ | Original Shěn Qīngqiū;Qiū Jiǎnluó;Previous Generation Cāng Qióng Mountain Sect Peak Lords;Qí Qīngqī;Mù Qīngfāng;Liǔ Qīnggē,Shěn Jiǔ | Original Shěn Qīngqiū & Yuè Qīngyuán,Fluff;Hurt/Comfort;Inspired by Midas and the Golden Touch (Ancient Greek Religion & Lore);Protective Yuè Qīngyuán;Short One Shot;Fictober 2023;Fictober,2878,2023.10.07,07 Oct 2023,1/1,0,33,4,190,0,Complete
50613919,https://archiveofourown.org/works/50613919,an ounce of affection,XueYangsLawyer,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Explicit,M/M,Yuè Qīngyuán;Shěn Jiǔ | Original Shěn Qīngqiū,Shěn Jiǔ | Original Shěn Qīngqiū/Yuè Qīngyuán,Hair Brushing;Hair Kink;combs;Lap Sex;Top Yuè Qīngyuán;Bottom Shěn Jiǔ | Original Shěn Qīngqiū;Canon typical Shen Jiu bitchiness,2731,2023.10.06,06 Oct 2023,1/1,3,89,10,493,0,Complete
50618692,https://archiveofourown.org/works/50618692,Drink Yourself Stupid and Fuck Me Stupider,Agilo,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Explicit,M/M,Luò Bīnghé;Tiānláng-jūn,Luò Bīnghé/Tiānláng-jūn,Top Luò Bīnghé;Bottom Tiānláng-jūn;Incest;Father/Son Incest;Dubious Consent;Coercion;Alcohol;Birthday Sex;Anal Sex;No Lube;Barebacking;Creampie;Dirty Talk;Degradation;Modern AU,2350,2023.10.06,06 Oct 2023,1/1,0,8,3,204,1,Complete
50614735,https://archiveofourown.org/works/50614735,roommate acquisition,gem_mo,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Teen And Up Audiences,M/M,Shěn Yuán | Shěn Qīngqiū;Shěn Yuán | Shěn Qīngqiū's Family;Liǔ Qīnggē;Shěn Jiǔ | Original Shěn Qīngqiū;Yuè Qīngyuán;Cāng Qióng Mountain Sect Peak Lords,Liǔ Qīnggē/Shěn Jiǔ | Original Shěn Qīngqiū;Shěn Jiǔ | Original Shěn Qīngqiū & Yuè Qīngyuán;Liǔ Qīnggē & Shěn Jiǔ | Original Shěn Qīngqiū;Shěn Jiǔ | Original Shěn Qīngqiū & Shěn Yuán | Shěn Qīngqiū;Liǔ Qīnggē & Shěn Yuán | Shěn Qīngqiū,based on “God Troubles Me”;Alternate Universe - Modern Setting;Fluff;Getting to Know Each Other;Light-Hearted;Attempt at Humor;Roommates;Everybody Lives;SJ kind-of gets along with the rest;emphasis on kind of;qijiu (as siblings) are happy for once;Pre-Relationship;Gen or Pre-Slash;for liujiu;Abuse of italics,2623,2023.10.06,06 Oct 2023,1/?,4,34,4,134,0,Incomplete
50585458,https://archiveofourown.org/works/50585458,The Collar Stays on During Sex (until it doesn't),Agilo,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Explicit,M/M,Luò Bīnghé;Shěn Yuán | Shěn Qīngqiū,Luò Bīnghé/Shěn Yuán | Shěn Qīngqiū,Top Luò Bīnghé;Bottom Shěn Yuán | Shěn Qīngqiū;Established Relationship;Omegaverse;SQQ has a pussy;Rutting;Collars;Biting;Overstimulation;Knotting,1721,2023.10.05,05 Oct 2023,1/1,3,162,16,1294,1,Complete
50571934,https://archiveofourown.org/works/50571934,Between A Rock And A Hard Place,Courtroom_Rival,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Explicit,M/M,Shěn Yuán | Shěn Qīngqiū;Liǔ Qīnggē,Liǔ Qīnggē/Shěn Yuán | Shěn Qīngqiū,Plot What Plot/Porn Without Plot;Wall Sex;Is It Wall Sex If One Of Them Is Stuck In A Wall?;Rimming;Anal Fingering;Anal Sex;Hand Jobs;Spanking;slight praise kink;Established Relationship;Top Shěn Yuán | Shěn Qīngqiū;Bottom Liǔ Qīnggē;Not Beta Read,2706,2023.10.04,04 Oct 2023,1/1,4,68,9,486,0,Complete
50591272,https://archiveofourown.org/works/50591272,Reincarnation is King Yama's Recycling Center,The_Supervillains_Goatee,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù;陈情令 | The Untamed (TV);魔道祖师 | Módào Zǔshī (Cartoon);魔道祖师 | Módào Zǔshī (Audio Drama);魔道祖师 | Módào Zǔshī (Webcomic);天官赐福 - 墨香铜臭 | Tiān Guān Cì Fú - Mòxiāng Tóngxiù;天官赐福 | Heaven Official's Blessing (Cartoon);天官赐福 | Heaven Official's Blessing (Webcomic);人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù;穿书自救指南 | Scumbag System (Cartoon),English,No Archive Warnings Apply,General Audiences,No category,Original Níng Yīngyīng;Xiè Lián (Tiān Guān Cì Fú);Huā Chéng (Tiān Guān Cì Fú);Cángsè Sǎnrén;Sòng Lán | Sòng Zǐchēn;Xiǎo Xīngchén,Huā Chéng/Xiè Lián (Tiān Guān Cì Fú);Original Luò Bīnghé/Original Níng Yīngyīng;Original Níng Yīngyīng & Shěn Jiǔ | Original Shěn Qīngqiū;Shàng Qīnghuá & Shěn Yuán | Shěn Qīngqiū,Dementia;Immortality;qi cultivation;Xianxia;Reincarnation,1194,2023.10.05,05 Oct 2023,2/2,0,5,2,43,0,Complete
50586838,https://archiveofourown.org/works/50586838,Atavism,Anonymous,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,Creator Chose Not To Use Archive Warnings,Explicit,F/M;M/M;Multi,Original Female Character(s);Yuè Qīngyuán;Shěn Jiǔ | Original Shěn Qīngqiū,Shěn Jiǔ | Original Shěn Qīngqiū/Original Yuè Qīngyuán;Original Yue Qingyuan/Original Female Character;Original Shen Qingqiu/Original Yue Qingyuan/Original Female Character,,1867,2023.10.05,05 Oct 2023,1/1,1,9,2,113,1,Complete
50576455,https://archiveofourown.org/works/50576455,He Ate My Heart,Volatilevore,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,English,No Archive Warnings Apply,Explicit,M/M,Mòběi-jūn;Shàng Qīnghuá,Mòběi-jūn/Shàng Qīnghuá,Teratophilia;Monsterfucking;Size Difference;Size Kink;lightly - Freeform;Rimming;Anal Sex;Mildly Dubious Consent;kind of,3834,2023.10.05,04 Oct 2023,1/1,0,106,12,726,0,Complete
